"filename", "language", "YAML", "Dart", "Groovy", "Properties", "Swift", "JSON", "Markdown", "C++", "HTML", "XML", "CMake", "comment", "blank", "total"
"d:\stylish_ecommerce\lib\data\web_services\dio_factory.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 38
"d:\stylish_ecommerce\lib\data\web_services\get.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 50
"d:\stylish_ecommerce\lib\data\web_services\http_request.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 24
"d:\stylish_ecommerce\lib\data\web_services\post.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 45
"d:\stylish_ecommerce\lib\data\web_services\put.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 45
"d:\stylish_ecommerce\lib\main.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 36
"d:\stylish_ecommerce\lib\presentation\common_widget\base_button.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 74
"d:\stylish_ecommerce\lib\presentation\common_widget\custom_elevated_button.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 103
"d:\stylish_ecommerce\lib\presentation\common_widget\custom_icon_button.dart", "Dart", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 146
"d:\stylish_ecommerce\lib\presentation\common_widget\custom_image_view.dart", "Dart", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 23, 191
"d:\stylish_ecommerce\lib\presentation\common_widget\custom_text_form_field.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 29, 176
"d:\stylish_ecommerce\lib\presentation\screens\home_screen.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\stylish_ecommerce\lib\presentation\screens\registeration_screens\forget_password_page.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 109
"d:\stylish_ecommerce\lib\presentation\screens\registeration_screens\sign_in_page.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 70
"d:\stylish_ecommerce\lib\presentation\screens\registeration_screens\sign_up_page.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 65
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_in\create_new_account.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 35
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_in\email_and_password_textfield.dart", "Dart", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 171
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_in\login_btn.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 47
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_in\sign_in_bloc_listener.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 52
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\already_have_account.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 38
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\email_text_field.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 62
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\name_text_field.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 62
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\password_text_field.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 97
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\password_validator.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 95
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\phone_text_field.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 62
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\sign_up_bloc_listener.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 52
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\sign_up_btn.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 55
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\sign_up\sign_up_form.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 32
"d:\stylish_ecommerce\lib\presentation\widgets\registeration_widgets\social_login_icons.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 71
"d:\stylish_ecommerce\lib\stylish_ecommerce.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 68
"d:\stylish_ecommerce\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 5, 12
"d:\stylish_ecommerce\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"d:\stylish_ecommerce\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"d:\stylish_ecommerce\linux\main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\stylish_ecommerce\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 20, 105
"d:\stylish_ecommerce\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"d:\stylish_ecommerce\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 4, 19
